Lunar IPS (LIPS) Version 1.03
Apply IPS Patch Log

Offset    Size    RLE    IPS_File_Range       IPS_File_Size
014A3B      2C    No     000033E0-00003410       31
014A71       4    No     00003411-00003419        9
014A7B      26    No     0000341A-00003444       2B
015F03       2    No     00003445-0000344B        7
016415       6    No     0000344C-00003456        B
016797       6    No     00003457-00003461        B
01683D       6    No     00003462-0000346C        B
016AED       6    No     0000346D-00003477        B
018000      80    No     00003478-000034FC       85
018090      5F    No     000034FD-00003560       64
0180FA      44    No     00003561-000035A9       49
018144     15C    No     000035AA-0000370A      161
0182AA       1    No     0000370B-00003710        6
0182B2       E    No     00003711-00003723       13
0182CA      B6    No     00003724-000037DE       BB
01838D       3    No     000037DF-000037E6        8
01839E      16    No     000037E7-00003801       1B
0183BB       9    No     00003802-0000380F        E
0183CB      B8    No     00003810-000038CC       BD
018489       7    No     000038CD-000038D8        C
018499      27    No     000038D9-00003904       2C
0184C9      17    No     00003905-00003920       1C
0184E9      27    No     00003921-0000394C       2C
01851C       4    No     0000394D-00003955        9
018529       7    No     00003956-00003961        C
018539      45    No     00003962-000039AB       4A
018592      3E    No     000039AC-000039EE       43
0185D9      37    No     000039EF-00003A2A       3C
018619       7    No     00003A2B-00003A36        C
018629       7    No     00003A37-00003A42        C
018639      57    No     00003A43-00003A9E       5C
018699       A    No     00003A9F-00003AAD        F
0186A9      67    No     00003AAE-00003B19       6C
018719       B    No     00003B1A-00003B29       10
01872C    2490    No     00003B2A-00005FBE     2495
01ABBC      24    Yes    00005FBF-00005FC6        8
01ABE2       E    Yes    00005FC7-00005FCE        8
0277A0      B4    No     00005FCF-00006087       B9
02869F      AA    No     00006088-00006136       AF
028780       1    No     00006137-0000613C        6
028781     E40    Yes    0000613D-00006144        8
029641     DFF    No     00006145-00006F48      E04
02A440      41    Yes    00006F49-00006F50        8
02A481     100    No     00006F51-00007055      105
03AD64    1C00    Yes    00007056-0000705D        8
05CF43      20    No     0000705E-00007082       25
05D5F5       6    No     00007083-0000708D        B
05DED1       6    No     0000708E-00007098        B
05E0BF       6    No     00007099-000070A3        B
05F6FC       2    No     000070A4-000070AA        7
064383       2    No     000070AB-000070B1        7
06438B    1254    No     000070B2-0000830A     1259
06591B     380    Yes    0000830B-00008312        8
06644B      1E    No     00008313-00008335       23
0673E9     5B4    No     00008336-000088EE      5B9
078002    1192    No     000088EF-00009A85     1197
0791F8    1730    No     00009A86-0000B1BA     1735
07A928      18    Yes    0000B1BB-0000B1C2        8
07A944       1    No     0000B1C3-0000B1C8        6
07A945      23    Yes    0000B1C9-0000B1D0        8
07A968       1    No     0000B1D1-0000B1D6        6
07A96D      45    Yes    0000B1D7-0000B1DE        8
07A9B2     71B    No     0000B1DF-0000B8FE      720
07B0D3     687    No     0000B8FF-0000BF8A      68C
07B760     99C    No     0000BF8B-0000C92B      9A1
07C0FC      1A    Yes    0000C92C-0000C933        8
07C215     699    No     0000C934-0000CFD1      69E
07C8AE      19    Yes    0000CFD2-0000CFD9        8
07C98E     693    No     0000CFDA-0000D671      698
07D021      13    Yes    0000D672-0000D679        8
07D036     3D4    No     0000D67A-0000DA52      3D9
07D40A      1A    Yes    0000DA53-0000DA5A        8
07D426     1E1    No     0000DA5B-0000DC40      1E6
07D60D     C86    No     0000DC41-0000E8CB      C8B
07E293      23    Yes    0000E8CC-0000E8D3        8
07E301     1FB    No     0000E8D4-0000EAD3      200
07E4FC      23    Yes    0000EAD4-0000EADB        8
07E6A2     135    No     0000EADC-0000EC15      13A
07E7D7      84    Yes    0000EC16-0000EC1D        8
07E87F       2    No     0000EC1E-0000EC24        7
082A7D       2    No     0000EC25-0000EC2B        7
082A87       2    No     0000EC2C-0000EC32        7
08879F       2    No     0000EC33-0000EC39        7
0887FF       2    No     0000EC3A-0000EC40        7
088885     1AE    No     0000EC41-0000EDF3      1B3
088ACE     70B    No     0000EDF4-0000F503      710
0891E1     165    No     0000F504-0000F66D      16A
0893CC       1    No     0000F66E-0000F673        6
0893D8       7    No     0000F674-0000F67F        C
0893E7       A    No     0000F680-0000F68E        F
0893F8       B    No     0000F68F-0000F69E       10
08940A       B    No     0000F69F-0000F6AE       10
08941C       B    No     0000F6AF-0000F6BE       10
08942E       B    No     0000F6BF-0000F6CE       10
089440       B    No     0000F6CF-0000F6DE       10
089453     10E    No     0000F6DF-0000F7F1      113
089569      AE    No     0000F7F2-0000F8A4       B3
089622     81C    No     0000F8A5-000100C5      821
089E3E      A4    Yes    000100C6-000100CD        8
0A1158       2    No     000100CE-000100D4        7
0A1177       2    No     000100D5-000100DB        7
0BE7DE    11A8    Yes    000100DC-000100E3        8
104EF5       E    No     000100E4-000100F6       13
104F36       D    No     000100F7-00010108       12
104F76       D    No     00010109-0001011A       12
104FB6       D    No     0001011B-0001012C       12
104FF5       E    No     0001012D-0001013F       13
105035       E    No     00010140-00010152       13
105075       E    No     00010153-00010165       13
1050B6       D    No     00010166-00010177       12
1050F5       E    No     00010178-0001018A       13
105135       E    No     0001018B-0001019D       13
105176       D    No     0001019E-000101AF       12
1051B6       D    No     000101B0-000101C1       12
1051F5       D    No     000101C2-000101D3       12
105236       C    No     000101D4-000101E4       11
105276       D    No     000101E5-000101F6       12
1052B5       E    No     000101F7-00010209       13
1052F6       D    No     0001020A-0001021B       12
105335       E    No     0001021C-0001022E       13
105375       E    No     0001022F-00010241       13
1053B6       9    No     00010242-0001024F        E
1053F5       E    No     00010250-00010262       13
105436       D    No     00010263-00010274       12
105476       D    No     00010275-00010286       12
1054B6       D    No     00010287-00010298       12
1054F6       D    No     00010299-000102AA       12
105535       E    No     000102AB-000102BD       13
105575       E    No     000102BE-000102D0       13
1055B5       E    No     000102D1-000102E3       13
1055F5       E    No     000102E4-000102F6       13
105635       A    No     000102F7-00010305        F
105676       D    No     00010306-00010317       12
1056B6       D    No     00010318-00010329       12
1056F6       D    No     0001032A-0001033B       12
105736       9    No     0001033C-00010349        E
10577B       8    No     0001034A-00010356        D
1057B5       E    No     00010357-00010369       13
1057F5       E    No     0001036A-0001037C       13
105835       E    No     0001037D-0001038F       13
105875       E    No     00010390-000103A2       13
1058B5       E    No     000103A3-000103B5       13
1058F5       E    No     000103B6-000103C8       13
105935       E    No     000103C9-000103DB       13
105975       E    No     000103DC-000103EE       13
1059B5       E    No     000103EF-00010401       13
1059F6       D    No     00010402-00010413       12
105A36       D    No     00010414-00010425       12
105A75       E    No     00010426-00010438       13
105AB5       E    No     00010439-0001044B       13
105AF5       E    No     0001044C-0001045E       13
105B36       D    No     0001045F-00010470       12
105B76       D    No     00010471-00010482       12
105BB5       E    No     00010483-00010495       13
105BF6       D    No     00010496-000104A7       12
105C36       D    No     000104A8-000104B9       12
105C76       D    No     000104BA-000104CB       12
105CB5       E    No     000104CC-000104DE       13
105CF5       E    No     000104DF-000104F1       13
105D36       D    No     000104F2-00010503       12
105D76       D    No     00010504-00010515       12
105DB6       9    No     00010516-00010523        E
105DF9       4    No     00010524-0001052C        9
105E36       7    No     0001052D-00010538        C
105E76       D    No     00010539-0001054A       12
105EB6       7    No     0001054B-00010556        C
105EF6       7    No     00010557-00010562        C
105F36       7    No     00010563-0001056E        C
105F76       7    No     0001056F-0001057A        C
105FB6       7    No     0001057B-00010586        C
105FF6       9    No     00010587-00010594        E
106035       A    No     00010595-000105A3        F
106075       8    No     000105A4-000105B0        D
1060B6       D    No     000105B1-000105C2       12
1060F6       D    No     000105C3-000105D4       12
106136       D    No     000105D5-000105E6       12
106179       A    No     000105E7-000105F5        F
1061B9       9    No     000105F6-00010603        E
1061F5       E    No     00010604-00010616       13
106235       8    No     00010617-00010623        D
106276       7    No     00010624-0001062F        C
1062B6       7    No     00010630-0001063B        C
1062F6       7    No     0001063C-00010647        C
106336       7    No     00010648-00010653        C
106376       7    No     00010654-0001065F        C
1063B6       7    No     00010660-0001066B        C
1063F6       7    No     0001066C-00010677        C
106436       7    No     00010678-00010683        C
106476       7    No     00010684-0001068F        C
1064B6       7    No     00010690-0001069B        C
1064F6       7    No     0001069C-000106A7        C
106535       8    No     000106A8-000106B4        D
106575       8    No     000106B5-000106C1        D
1065B5       8    No     000106C2-000106CE        D
1065F6       7    No     000106CF-000106DA        C
106636       7    No     000106DB-000106E6        C
106679       6    No     000106E7-000106F1        B
1066B9       4    No     000106F2-000106FA        9
1066F6       9    No     000106FB-00010708        E
106736       D    No     00010709-0001071A       12
106776       9    No     0001071B-00010728        E
1067B6       D    No     00010729-0001073A       12
1067F6       D    No     0001073B-0001074C       12
106836       9    No     0001074D-0001075A        E
106876       D    No     0001075B-0001076C       12
1068B6       D    No     0001076D-0001077E       12
1068F6       D    No     0001077F-00010790       12
106936       D    No     00010791-000107A2       12
106976       D    No     000107A3-000107B4       12
1069B6       D    No     000107B5-000107C6       12
1069F6       D    No     000107C7-000107D8       12
106A36       D    No     000107D9-000107EA       12
106A75       E    No     000107EB-000107FD       13
106AB5       E    No     000107FE-00010810       13
106AF6       D    No     00010811-00010822       12
106B35       E    No     00010823-00010835       13
106B76       D    No     00010836-00010847       12
106BB5       D    No     00010848-00010859       12
106BF6       C    No     0001085A-0001086A       11
106C35       8    No     0001086B-00010877        D
106C76       7    No     00010878-00010883        C
106CB6       7    No     00010884-0001088F        C
106CF9       4    No     00010890-00010898        9
106D36       7    No     00010899-000108A4        C
106D79       4    No     000108A5-000108AD        9
106DBB       2    No     000108AE-000108B4        7
106DFB       2    No     000108B5-000108BB        7
106E3B       2    No     000108BC-000108C2        7
106E7B       2    No     000108C3-000108C9        7
106EBB       2    No     000108CA-000108D0        7
106EFB       2    No     000108D1-000108D7        7
106F36       7    No     000108D8-000108E3        C
106F76       7    No     000108E4-000108EF        C
106FB6       7    No     000108F0-000108FB        C
106FF6       7    No     000108FC-00010907        C
107035       8    No     00010908-00010914        D
107075       8    No     00010915-00010921        D
1070B6       9    No     00010922-0001092F        E
1070F6       7    No     00010930-0001093B        C
107136       7    No     0001093C-00010947        C
107189       8    No     00010948-00010954        D
1071C9       A    No     00010955-00010963        F
107209       A    No     00010964-00010972        F
107249       A    No     00010973-00010981        F
107289       A    No     00010982-00010990        F
1072CA       9    No     00010991-0001099E        E
10730A       7    No     0001099F-000109AA        C
10734A       7    No     000109AB-000109B6        C
10738A       9    No     000109B7-000109C4        E
1073CA       C    No     000109C5-000109D5       11
10740A       9    No     000109D6-000109E3        E
10744A       C    No     000109E4-000109F4       11
10748A       9    No     000109F5-00010A02        E
1074CA       9    No     00010A03-00010A10        E
10750A       9    No     00010A11-00010A1E        E
10754A       C    No     00010A1F-00010A2F       11
10758A       9    No     00010A30-00010A3D        E
1075CA       C    No     00010A3E-00010A4E       11
10760A       9    No     00010A4F-00010A5C        E
10764A       9    No     00010A5D-00010A6A        E
10768A       9    No     00010A6B-00010A78        E
1076CA       C    No     00010A79-00010A89       11
10770A       9    No     00010A8A-00010A97        E
10774A       C    No     00010A98-00010AA8       11
10778A       9    No     00010AA9-00010AB6        E
1077CA       9    No     00010AB7-00010AC4        E
108000     5A0    No     00010AC5-00011069      5A5
1085A7    19BF    No     0001106A-00012A2D     19C4
109F6D      1A    No     00012A2E-00012A4C       1F
109F8D    44DD    No     00012A4D-00016F2E     44E2
10E470       A    No     00016F2F-00016F3D        F
10E480       A    No     00016F3E-00016F4C        F
10E490     6B4    No     00016F4D-00017605      6B9
10EB44      8D    Yes    00017606-0001760D        8
110914      1D    No     0001760E-0001762F       22
110B62      1E    No     00017630-00017652       23
11198F      1E    No     00017653-00017675       23
111E6C      1E    No     00017676-00017698       23
11238D      1D    No     00017699-000176BA       22
1125A0      1E    No     000176BB-000176DD       23
112810       2    No     000176DE-000176E4        7
112FF5      1E    No     000176E5-00017707       23
11320E      1E    No     00017708-0001772A       23
113266      1E    No     0001772B-0001774D       23
1132BE      1E    No     0001774E-00017770       23
113A5D      3E    No     00017771-000177B3       43
113E1E      1E    No     000177B4-000177D6       23
1140D3      1E    No     000177D7-000177F9       23
11460C       A    No     000177FA-00017808        F
114A2D      1E    No     00017809-0001782B       23
11617D      1E    No     0001782C-0001784E       23
1162C2      1E    No     0001784F-00017871       23
116459      1E    No     00017872-00017894       23
11657D      1D    No     00017895-000178B6       22
11697A      1E    No     000178B7-000178D9       23
116DC7      20    Yes    000178DA-000178E1        8
1188F2      1D    No     000178E2-00017903       22
118C21       E    No     00017904-00017916       13
11900C      1E    No     00017917-00017939       23
11965D      1E    No     0001793A-0001795C       23
11980D      1E    No     0001795D-0001797F       23
119B7D      3E    No     00017980-000179C2       43
11A063       E    No     000179C3-000179D5       13
11A727      1E    No     000179D6-000179F8       23
11AA48      20    No     000179F9-00017A1D       25
11AF87      10    No     00017A1E-00017A32       15
11B087      3E    No     00017A33-00017A75       43
11B229       E    No     00017A76-00017A88       13
11B3A3      1E    No     00017A89-00017AAB       23
11B5C5       E    No     00017AAC-00017ABE       13
11B704      1E    No     00017ABF-00017AE1       23
11C640      1E    No     00017AE2-00017B04       23
11C8A8      1E    No     00017B05-00017B27       23
11DA9E      1E    No     00017B28-00017B4A       23
11DFA4      1E    No     00017B4B-00017B6D       23
11E23E      1E    No     00017B6E-00017B90       23
11E57E      18    No     00017B91-00017BAD       1D
11E5C2       8    No     00017BAE-00017BBA        D
11E5D0      20    Yes    00017BBB-00017BC2        8
11E9AF      20    Yes    00017BC3-00017BCA        8
12F95E      20    No     00017BCB-00017BEF       25
131472      1E    No     00017BF0-00017C12       23
13198D      1F    No     00017C13-00017C36       24
136150       1    No     00017C37-00017C3C        6
1361AF      20    No     00017C3D-00017C61       25
136240      1F    Yes    00017C62-00017C69        8
13AAC9       D    No     00017C6A-00017C7B       12
13AAEB       D    No     00017C7C-00017C8D       12
14159F      10    No     00017C8E-00017CA2       15
1415AF       D    Yes    00017CA3-00017CAA        8
141F55       2    No     00017CAB-00017CB1        7
141F61       E    No     00017CB2-00017CC4       13
142B10       D    No     00017CC5-00017CD6       12
143664       2    No     00017CD7-00017CDD        7
143670       E    No     00017CDE-00017CF0       13
144145      18    No     00017CF1-00017D0D       1D
1446B6      1D    No     00017D0E-00017D2F       22
145823      18    No     00017D30-00017D4C       1D
145BCA       F    No     00017D4D-00017D60       14
145BD9       D    Yes    00017D61-00017D68        8
146232      1D    No     00017D69-00017D8A       22
146589      1D    No     00017D8B-00017DAC       22
1467AE      1E    No     00017DAD-00017DCF       23
14699C      1E    No     00017DD0-00017DF2       23
1469BA      40    Yes    00017DF3-00017DFA        8
158000    6A00    Yes    00017DFB-00017E02        8
160000    6E00    Yes    00017E03-00017E0A        8
16B600    2800    Yes    00017E0B-00017E12        8
170000    2A00    Yes    00017E13-00017E1A        8
173000    B200    Yes    00017E1B-00017E22        8
